group,cell,condition,variant,window_count,valid_count,candidate_count,cluster_count,concentration,disagreement,unknown_mass,available
cea-09,joint,shuffle,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,14,13,2,2,0.8658623248259925,0.13413767517400754,0.07218696311141115,1
cea-09,joint,shuffle,0,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,joint,shuffle,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,14,13,2,2,0.8658623248259925,0.13413767517400754,0.07218696311141115,1
cea-09,joint,shuffle,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,shuffle,1,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,joint,ambiguous,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,16,14,1,1,0.8740919569511182,0.1259080430488818,0.1259080430488818,1
cea-09,joint,ambiguous,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,14,14,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,16,16,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,0,8,8,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,1,14,12,1,1,0.8569655873809249,0.14303441261907512,0.14303441261907512,1
cea-09,joint,ambiguous,1,12,12,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,1,6,6,1,1,1.0,0.0,0.0,1
cea-09,joint,ambiguous,1,14,14,1,1,1.0,0.0,0.0,1
