model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
fixed/transition2,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-14,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/present,cea-14,joint,ambiguous,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-14,joint,ambiguous,0.5,0.0,3.4789982477094417,0.95245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-14,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition1,cea-14,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-14,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition3,cea-14,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
map/absolute,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-15,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
map/reference,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-15,detached,intact,1.0,1.0,0.620055525309517,0.4261596280558517,0.7008742538444461,1.9999999999999998e-05,0.5379145688925162
map/transition2,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-15,detached,intact,1.0,1.0,0.08450306721923191,0.012989781652549937,0.2895682195965037,0.0801480878091673,0.9189688366936195
mixture/present,cea-15,detached,intact,0.0,0.0,2.163804481382799,1.0405799873722907,1.4427545476157202,0.0801480878091673,0.3446248121389773
mixture/recency,cea-15,detached,intact,1.0,1.0,0.13376380314201722,0.022285522276914715,0.6293602191194465,0.08104956071257238,0.8747966644267704
mixture/reference,cea-15,detached,intact,1.0,1.0,0.08450306721923191,0.012989781652549937,0.2895682195965037,0.0801480878091673,0.9189688366936195
mixture/transition1,cea-15,detached,intact,1.0,1.0,0.37492021718683005,0.15783596910140907,0.808202498032351,0.0801480878091673,0.6873441148505541
mixture/transition2,cea-15,detached,intact,1.0,1.0,0.08450306721923191,0.012989781652549937,0.2895682195965037,0.0801480878091673,0.9189688366936195
mixture/transition3,cea-15,detached,intact,1.0,1.0,0.08450306721923191,0.012989781652549937,0.2895682195965037,0.0801480878091673,0.9189688366936195
repaired/absolute,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-15,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
repaired/reference,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition2,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-15,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
streaming/reference,cea-15,detached,intact,0.5,0.0,1.0406311875957452,0.5310631362500001,0.6384029638356644,1.9999999999999998e-05,0.6868324999999998
streaming/transition1,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition2,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-15,detached,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
fixed/reference,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-15,detached,intact,0.0,0.0,10.819778284410283,1.499737658858195,0.7030902164678297,0.25936934150212276,0.5187186830042454
fixed/transition2,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/present,cea-15,detached,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-15,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition1,cea-15,detached,intact,0.5,0.0,0.6941076416550698,0.5000004800000002,0.7038282854721148,2e-05,0.49952
oracle-boundary/transition2,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition3,cea-15,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/absolute,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-15,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
map/reference,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-15,legato,intact,1.0,1.0,0.5532476811807432,0.3603006339672554,0.6923549690362607,1.9999999999999998e-05,0.575079100717629
map/transition2,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-15,legato,intact,1.0,1.0,0.15430766426940667,0.04065842204468484,0.4186134671155544,0.14216815534763472,0.8570083096107981
mixture/present,cea-15,legato,intact,0.0,0.0,2.233609078432974,1.0354696771134315,1.4940473949926145,0.14216815534763472,0.3213888392165697
mixture/recency,cea-15,legato,intact,1.0,1.0,0.20356840019219188,0.05441118890540575,0.7349570568141679,0.14300884736923442,0.8158144005524104
mixture/reference,cea-15,legato,intact,1.0,1.0,0.15430766426940667,0.04065842204468484,0.4186134671155544,0.14216815534763472,0.8570083096107981
mixture/transition1,cea-15,legato,intact,1.0,1.0,0.45554518003176714,0.20378781185356099,0.9096361507877175,0.14216815534763472,0.6341021738534902
mixture/transition2,cea-15,legato,intact,1.0,1.0,0.15430766426940667,0.04065842204468484,0.4186134671155544,0.14216815534763472,0.8570083096107981
mixture/transition3,cea-15,legato,intact,1.0,1.0,0.15430766426940667,0.04065842204468484,0.4186134671155544,0.14216815534763472,0.8570083096107981
repaired/absolute,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-15,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
repaired/reference,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition2,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-15,legato,intact,0.0,0.0,4.515052160836625,1.4734656249999998,0.9738837498905897,0.001,0.654125
streaming/reference,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition2,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-15,legato,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
fixed/reference,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-15,legato,intact,0.0,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
fixed/transition2,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/present,cea-15,legato,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-15,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition1,cea-15,legato,intact,0.5,0.0,0.6941076416550698,0.5000004800000002,0.7038282854721148,2e-05,0.49952
oracle-boundary/transition2,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition3,cea-15,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/absolute,cea-15,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-15,duration,intact,0.0,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-15,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.38625940550147086,0.001,0.951
map/reference,cea-15,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-15,duration,intact,1.0,1.0,0.5176610963552544,0.32579818253249604,0.6851101252678528,1.9999999999999998e-05,0.5959127016687532
map/transition2,cea-15,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-15,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-15,duration,intact,1.0,1.0,0.1535321614976346,0.040279936853311105,0.41742301604854304,0.14150264635571191,0.8576731797013106
mixture/present,cea-15,duration,intact,0.0,0.0,2.2328335756612017,1.0354709448682895,1.4936912693865696,0.14150264635571191,0.3216381738195407
mixture/recency,cea-15,duration,intact,1.0,1.0,0.20279289742041995,0.05398877909772115,0.7340166128045801,0.14234399058916797,0.8164473122619631
