model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95,entropy,entropy_lower95,entropy_upper95,unknown_mass,unknown_mass_lower95,unknown_mass_upper95,confidence,confidence_lower95,confidence_upper95
fixed/present,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,removal,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,reset,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,shuffle,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,joint,swap,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/present,legato,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/recency,detached,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,4.703341846959599,2.4989284163746546,6.17295080188089,1.3638074218721967,0.9027234375,1.73582890625,0.900430706846879,0.5331654915987505,1.2676959220950073,0.001,0.001,0.001,0.6912343749992811,0.5056874999985623,0.87678125
fixed/recency,duration,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.07074408622902,3.2337328934759015,6.540353040431514,1.408338671875,0.9917859375,1.7473328124999998,0.9004307068419498,0.5331654915987505,1.267695922085149,0.060375,0.001,0.17912499999999998,0.691234375,0.5056875,0.87678125
fixed/recency,joint,ambiguous,0.1875,0.0625,0.375,0.0,0.0,0.0,4.105166068142018,2.0373813344031455,6.17295080188089,1.21778203125,0.80698125,1.6285828125,1.1207898359878694,0.6800715776960302,1.5615080942797084,0.001,0.001,0.001,0.57990625,0.35724999999999996,0.8025625
fixed/recency,joint,intact,0.1875,0.0625,0.375,0.0,0.0,0.0,4.105166068142018,2.0373813344031455,6.17295080188089,1.2177820312499998,0.8069812499999999,1.6285828125,1.1207898359878694,0.6800715776960302,1.5615080942797084,0.001,0.001,0.001,0.57990625,0.35724999999999996,0.8025625
fixed/recency,joint,removal,0.1875,0.0625,0.375,0.0,0.0,0.0,4.105166068142018,2.0373813344031455,6.17295080188089,1.2177820312499998,0.8069812499999999,1.6285828125,1.1207898359878694,0.6800715776960302,1.5615080942797084,0.001,0.001,0.001,0.57990625,0.35724999999999996,0.8025625
fixed/recency,joint,reset,0.25,0.0625,0.4375,0.0,0.0,0.0,3.3703615910407705,1.7641239392734076,5.438146324779643,1.0511609375,0.7179187499999999,1.42559453125,1.267695922085149,0.9738837498905896,1.5615080942797084,0.001,0.001,0.001,0.5056875,0.35724999999999996,0.654125
fixed/recency,joint,shuffle,0.1875,0.0625,0.375,0.0,0.0,0.0,4.703341847678396,2.4989284163746546,6.17295080188089,1.3250281249999998,0.9027234375,1.73582890625,0.9738837498905896,0.5331654915987505,1.4146020081824286,0.060375,0.001,0.17912499999999998,0.654125,0.43146874999999996,0.87678125
fixed/recency,joint,swap,0.1875,0.0625,0.375,0.0,0.0,0.0,4.105166068142018,2.0373813344031455,6.17295080188089,1.2177820312499998,0.8069812499999999,1.6285828125,1.1207898359878694,0.6800715776960302,1.5615080942797084,0.001,0.001,0.001,0.57990625,0.35724999999999996,0.8025625
fixed/recency,legato,intact,0.125,0.0,0.3125,0.0,0.0,0.0,5.438146324779643,3.2337328934759015,6.907755278982137,1.5692078125,1.06934453125,1.90245,0.6800715776960302,0.38625940550147086,1.1207898359878694,0.001,0.001,0.001,0.8025625,0.57990625,0.951
fixed/reference,detached,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,duration,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,joint,ambiguous,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
fixed/reference,joint,intact,0.3125,0.125,0.4375,0.0,0.0,0.0,3.578590037968685,1.119089558878683,7.130527565775281,0.8123752925,0.6250627925,1.0309065425,1.2652230253095489,1.2652230253095489,1.2652230253095489,1.9999999999999998e-05,1.9999999999999998e-05,1.9999999999999998e-05,0.37464499999999995,0.37464499999999995,0.37464499999999995
