front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
repaired,cea-15,legato,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0014510932451115997,0.0,0.00776388888888889,0.01011111111111111,0.1119375,0.1
streaming,cea-15,legato,intact,1,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.45454545454545453,0.8181818181818182,5.631102652106861,0.09090909090909091,0.00776388888888889,0.01011111111111111,0.1119375,0.1
fixed,cea-15,legato,intact,1,11,18,9,3,0.16666666666666666,0.2727272727272727,0.20689655172413793,10,4,0.9090909090909091,0.36363636363636365,0.8181818181818182,0.8181818181818182,0.04154904373047409,0.0,0.015916666666666666,0.0180625,0.0040625,0.0
oracle-boundary,cea-15,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0013588168319574575,0.0,0.0,0.0,0.063875,0.063875
map,cea-15,duration,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0021702732630524382,0.0,0.007673611111111111,0.009979166666666667,0.108125,0.092
mixture,cea-15,duration,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0021702732630524382,0.0,0.007673611111111111,0.009979166666666667,0.108125,0.092
repaired,cea-15,duration,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.0008999987455552293,0.0,0.007673611111111111,0.009979166666666667,0.108125,0.092
streaming,cea-15,duration,intact,0,11,10,9,9,0.9,0.8181818181818182,0.8571428571428571,0,1,0.0,0.09090909090909091,0.45454545454545453,0.8181818181818182,5.624512783219966,0.09090909090909091,0.007673611111111111,0.009979166666666667,0.108125,0.092
fixed,cea-15,duration,intact,0,11,19,7,3,0.15789473684210525,0.2727272727272727,0.2,11,5,1.0,0.45454545454545453,0.5454545454545454,0.6363636363636364,1.7641950891881617,0.09090909090909091,0.021125,0.0213125,0.0113125,0.0
oracle-boundary,cea-15,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0013606786546851233,0.0,0.0,0.0,0.05625,0.05625
