model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
mixture/absolute,cea-08,duration,intact,0,1.0,0.680545464292476,0.4869188052230513,0.6988047882911261,0.49317270983036254,0.5063407262397959
mixture/present,cea-08,duration,intact,0,0.0,1.661341351828791,0.9435772093121102,1.3341965224873589,0.49317270983036254,0.49317270983036254
mixture/recency,cea-08,duration,intact,0,0.0,7.5873202627606515,1.4750344493156655,0.8848300560639483,0.49366941050874236,0.49366941050874236
mixture/reference,cea-08,duration,intact,0,1.0,0.680545464292476,0.4869188052230513,0.6988047882911261,0.49317270983036254,0.5063407262397959
mixture/transition1,cea-08,duration,intact,0,0.0,1.3259757811042368,0.8406334337310293,1.0490561929265352,0.49317270983036254,0.49317270983036254
mixture/transition2,cea-08,duration,intact,0,1.0,0.680545464292476,0.4869188052230513,0.6988047882911261,0.49317270983036254,0.5063407262397959
mixture/transition3,cea-08,duration,intact,0,1.0,0.680545464292476,0.4869188052230513,0.6988047882911261,0.49317270983036254,0.5063407262397959
repaired/absolute,cea-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/present,cea-08,duration,intact,0,1.0,0.9817763680502767,0.5626252924999999,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-08,duration,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition1,cea-08,duration,intact,0,1.0,0.5468856773240472,0.3540962435280959,0.6912083913421548,1.9999999999999998e-05,0.5787494190844041
repaired/transition2,cea-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition3,cea-08,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
