model,cell,condition,bin,count,mean_confidence,accuracy
mixture/reference,detached,intact,9,15,0.9828074361456092,0.8666666666666667
mixture/reference,duration,intact,5,2,0.5201815220701016,1.0
mixture/reference,duration,intact,6,3,0.6708454158025142,1.0
mixture/reference,duration,intact,7,4,0.7222784318045933,0.5
mixture/reference,duration,intact,8,3,0.8534540354834227,1.0
mixture/reference,duration,intact,9,4,0.9680363933708713,0.5
mixture/reference,joint,ambiguous,3,4,0.3939294130247554,0.5
mixture/reference,joint,ambiguous,4,8,0.46158238103563287,0.25
mixture/reference,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/reference,joint,ambiguous,9,2,1.0,0.0
mixture/reference,joint,intact,5,4,0.5278916258654562,1.0
mixture/reference,joint,intact,6,6,0.6774504749377385,0.6666666666666666
mixture/reference,joint,intact,8,4,0.8217436144489444,1.0
mixture/reference,joint,intact,9,2,1.0,0.0
mixture/reference,joint,removal,2,2,0.29790529824594125,0.5
mixture/reference,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/reference,joint,reset,3,16,0.36873745992068324,0.3125
mixture/reference,joint,shuffle,5,3,0.5587118899003457,0.3333333333333333
mixture/reference,joint,shuffle,6,5,0.644064332021409,0.6
mixture/reference,joint,shuffle,7,2,0.794324642369655,1.0
mixture/reference,joint,shuffle,8,4,0.849376247055049,1.0
mixture/reference,joint,shuffle,9,2,1.0,0.0
mixture/reference,joint,swap,5,4,0.5278916258654562,1.0
mixture/reference,joint,swap,6,6,0.6774504749377385,0.6666666666666666
mixture/reference,joint,swap,8,4,0.8217436144489445,1.0
mixture/reference,joint,swap,9,2,1.0,0.0
mixture/reference,legato,intact,6,2,0.6518629291791809,1.0
mixture/reference,legato,intact,8,8,0.8456449735615583,0.75
mixture/reference,legato,intact,9,6,0.9572287404921482,0.6666666666666666
mixture/transition1,detached,intact,4,2,0.4639603765871112,0.0
mixture/transition1,detached,intact,5,10,0.5080771698582518,0.4
mixture/transition1,detached,intact,6,2,0.6873441148505541,1.0
mixture/transition1,detached,intact,9,2,1.0,0.0
mixture/transition1,duration,intact,3,4,0.3736134555285804,0.5
mixture/transition1,duration,intact,4,3,0.4455176862312395,0.0
mixture/transition1,duration,intact,5,2,0.5612257648884874,0.5
mixture/transition1,duration,intact,6,3,0.651006009033478,1.0
mixture/transition1,duration,intact,7,2,0.7167139804522806,0.0
mixture/transition1,duration,intact,9,2,1.0,0.0
mixture/transition1,joint,ambiguous,3,2,0.3748807504459929,0.5
mixture/transition1,joint,ambiguous,4,10,0.45429799708263924,0.3
mixture/transition1,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/transition1,joint,ambiguous,9,2,1.0,0.0
mixture/transition1,joint,intact,3,4,0.3765364250792469,0.25
mixture/transition1,joint,intact,4,5,0.4614279242886747,0.2
mixture/transition1,joint,intact,5,1,0.5573589673538082,1.0
mixture/transition1,joint,intact,6,4,0.6543086403820892,0.5
mixture/transition1,joint,intact,9,2,1.0,0.0
mixture/transition1,joint,removal,2,2,0.29790529824594125,0.5
mixture/transition1,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/transition1,joint,reset,3,16,0.36873745992068324,0.3125
mixture/transition1,joint,shuffle,3,2,0.37129952806957756,0.5
mixture/transition1,joint,shuffle,4,5,0.4513759883893627,0.4
mixture/transition1,joint,shuffle,5,4,0.5677418714746879,0.5
mixture/transition1,joint,shuffle,6,3,0.6314843885685414,0.3333333333333333
mixture/transition1,joint,shuffle,9,2,1.0,0.0
mixture/transition1,joint,swap,3,4,0.3765364250792469,0.25
mixture/transition1,joint,swap,4,5,0.4614279242886747,0.2
mixture/transition1,joint,swap,5,1,0.5573589673538082,1.0
mixture/transition1,joint,swap,6,4,0.6543086403820892,0.5
mixture/transition1,joint,swap,9,2,1.0,0.0
mixture/transition1,legato,intact,3,1,0.3543151218529271,0.0
mixture/transition1,legato,intact,4,5,0.4726226676037212,0.8
mixture/transition1,legato,intact,5,4,0.5457408976221272,0.5
mixture/transition1,legato,intact,6,2,0.6341021738534902,1.0
mixture/transition1,legato,intact,8,2,0.835086537934733,0.0
mixture/transition1,legato,intact,9,2,1.0,0.0
mixture/transition2,detached,intact,8,1,0.8296023063574745,1.0
mixture/transition2,detached,intact,9,15,0.9828074361456092,0.8666666666666667
mixture/transition2,duration,intact,5,2,0.5201815220701016,1.0
mixture/transition2,duration,intact,6,3,0.6708454158025142,1.0
mixture/transition2,duration,intact,7,4,0.7222784318045933,0.5
mixture/transition2,duration,intact,8,3,0.8534540354834227,1.0
mixture/transition2,duration,intact,9,4,0.9680363933708713,0.5
mixture/transition2,joint,ambiguous,3,4,0.39646450979208747,0.5
mixture/transition2,joint,ambiguous,4,8,0.46771865794431405,0.25
mixture/transition2,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/transition2,joint,ambiguous,9,2,1.0,0.0
mixture/transition2,joint,intact,5,4,0.5278916258654562,1.0
mixture/transition2,joint,intact,6,5,0.6734188723827144,0.6
mixture/transition2,joint,intact,7,1,0.7331799044169239,1.0
mixture/transition2,joint,intact,8,4,0.832145117275189,1.0
mixture/transition2,joint,intact,9,2,1.0,0.0
mixture/transition2,joint,removal,2,2,0.29790529824594125,0.5
mixture/transition2,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/transition2,joint,reset,3,16,0.36873745992068324,0.3125
mixture/transition2,joint,shuffle,5,3,0.5587118899003457,0.3333333333333333
mixture/transition2,joint,shuffle,6,4,0.6304549263489968,0.5
mixture/transition2,joint,shuffle,7,3,0.7739417776836947,1.0
mixture/transition2,joint,shuffle,8,4,0.859515089330516,1.0
mixture/transition2,joint,shuffle,9,2,1.0,0.0
mixture/transition2,joint,swap,5,4,0.5278916258654562,1.0
mixture/transition2,joint,swap,6,5,0.6734188723827144,0.6
mixture/transition2,joint,swap,7,1,0.7331799044169239,1.0
mixture/transition2,joint,swap,8,4,0.8321451172751891,1.0
mixture/transition2,joint,swap,9,2,1.0,0.0
mixture/transition2,legato,intact,7,2,0.7074998041356124,1.0
mixture/transition2,legato,intact,8,8,0.8607190218974332,0.75
mixture/transition2,legato,intact,9,6,0.9572287404921482,0.6666666666666666
mixture/transition3,detached,intact,8,1,0.8296023063574745,1.0
mixture/transition3,detached,intact,9,15,0.9828074361456092,0.8666666666666667
mixture/transition3,duration,intact,5,2,0.5201815220701016,1.0
mixture/transition3,duration,intact,6,3,0.6708454158025142,1.0
mixture/transition3,duration,intact,7,4,0.7222784318045933,0.5
mixture/transition3,duration,intact,8,3,0.8534540354834227,1.0
mixture/transition3,duration,intact,9,4,0.9680363933708713,0.5
mixture/transition3,joint,ambiguous,3,4,0.396045528354242,0.5
mixture/transition3,joint,ambiguous,4,8,0.466164691762766,0.25
mixture/transition3,joint,ambiguous,6,2,0.6522299452652967,0.0
mixture/transition3,joint,ambiguous,9,2,1.0,0.0
mixture/transition3,joint,intact,5,4,0.5278916258654562,1.0
mixture/transition3,joint,intact,6,6,0.6774504749377385,0.6666666666666666
mixture/transition3,joint,intact,8,4,0.8217436144489444,1.0
mixture/transition3,joint,intact,9,2,1.0,0.0
mixture/transition3,joint,removal,2,2,0.29790529824594125,0.5
mixture/transition3,joint,removal,3,14,0.3229999799705473,0.21428571428571427
mixture/transition3,joint,reset,3,16,0.36873745992068324,0.3125
mixture/transition3,joint,shuffle,5,3,0.5587118899003457,0.3333333333333333
mixture/transition3,joint,shuffle,6,5,0.644064332021409,0.6
mixture/transition3,joint,shuffle,7,2,0.794324642369655,1.0
mixture/transition3,joint,shuffle,8,4,0.849376247055049,1.0
mixture/transition3,joint,shuffle,9,2,1.0,0.0
mixture/transition3,joint,swap,5,4,0.5278916258654562,1.0
mixture/transition3,joint,swap,6,6,0.6774504749377385,0.6666666666666666
mixture/transition3,joint,swap,8,4,0.8217436144489445,1.0
