stratum,group_id,length,family,query_n,group_n,max_pair_n,available_pair_n,queries_all_max_pairs_available,queries_with_tied_exact_absent_maxima,queries_any_alternate_reference_max,pairs_all_12_equal,queries_any_all_12_equal,queries_all_all_12_equal,pairs_only_cost_timing_differ,queries_any_only_cost_timing_differ,queries_all_only_cost_timing_differ,pairs_other_differences,queries_any_other_differences,queries_all_other_differences,pairs_unavailable,queries_any_unavailable,queries_all_unavailable,outcome_true_singleton,outcome_wrong_singleton,outcome_multiple_candidates,outcome_none,queries_any_ten_equal,queries_all_ten_equal,absent_false_accept_queries,true_vs_absent_max_score_near_queries,queries_with_extra_score_near_maxima,true_margin_min,true_margin_median,true_margin_max,absent_margin_min,absent_margin_median,absent_margin_max,true_minus_absent_max_min,true_minus_absent_max_median,true_minus_absent_max_max
length+family,,4,timing,8,4,8,8,8,0,2,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,2.382236663470671,2.38223670534677,2.38223670534677,-3.892005085219729,-3.8919156521852054,-3.891833995821247,6.274070659291918,6.274152336593926,6.274241790566499
length+family,,4,transpose,8,4,8,8,8,0,2,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,1,2.382312863856603,2.382312863856603,2.382312863856603,-3.8920750763981395,-3.891910726866296,-3.891833995821247,6.27414685967785,6.274223590722899,6.2743879402547424
length+family,,4,weak_present,8,4,8,8,8,0,2,0,0,0,6,6,6,2,2,2,0,0,0,0,0,0,8,6,6,0,0,1,-0.1259876330312455,-0.1259876330312455,-0.1259876330312455,-4.947048872910541,-0.12635741844985304,-0.12622871363131338,0.0002410806000678889,0.0003697854186075489,4.821061239879295
length+family,,6,delete_closed,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,4,0,0,4,1,1,0,0,0,-8.914790843306264e-07,-1.9881507107299967e-08,1.4525431701883917e-06,-5.785654832866442,-4.671485108188735,-1.2761520000736937e-06,8.923636016788805e-07,4.6714851829830275,5.785654832958057
length+family,,6,delete_detune,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,0,0,0,8,1,1,0,0,0,-2.8919188386936554,-2.891918729301123,-2.8919186428920725,-8.286784236335855,-8.286434174703363,-2.892235889905418,0.0003172470133456784,5.394515488275273,5.394865505929757
length+family,,6,delete_insert,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,0,0,0,8,1,1,0,0,1,-2.5188585375905657,-2.5188585375905657,-2.5188585375905657,-8.304513370548623,-6.735460245938331,-2.5191757846039113,0.0003172470133456784,4.216601708347765,5.785654832958056
length+family,,6,delete_rest,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,8,0,0,0,1,1,0,0,1,0.0002135100121058997,0.0002135100121058997,0.0002135100121058997,-5.785441322945951,-4.671442310855738,-0.00010373700123977869,0.0003172470133456784,4.671655820867844,5.785654832958057
length+family,,6,delete_timing,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,8,0,0,0,1,1,0,0,0,0.00013419823631544148,0.00013419829540683992,0.0001346946804812177,-5.785520634721742,-4.671452801316238,-0.00018304877703023692,0.0003172470133456784,4.6715872478337275,5.785654832958057
length+family,,6,delete_transpose,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,8,0,0,0,1,1,0,0,0,0.0002135100121058997,0.0002135100121058997,0.0002135100121058997,-5.785441336205652,-4.671440946111114,-0.00010116060443543518,0.0003146706165413349,4.67165445612322,5.785654846217758
length+family,,6,delete_two,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,0,0,0,8,1,1,0,0,0,-1.652695448501989,-1.652695448501989,-1.652695448501989,-7.047907211221817,-7.04778076601825,-1.6530454621282544,0.0003500136262655218,5.395085317516261,5.395211762719828
length+family,,6,detune,8,4,8,8,8,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,0,-0.7408157294789017,-0.7408156268744452,-0.7408155458272905,-10.350452064130181,-5.411307981235555,-2.519493031617257,1.77867743453956,4.670492394366483,9.609636516644636
length+family,,6,exact,8,4,8,8,8,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,1.6693163903768156,1.6693163903768156,1.6693163903768156,-6.735319584243374,-2.519175784574365,-2.5188585375905657,4.188174927967381,4.188492174951181,8.40463597462019
length+family,,6,insert,8,4,8,8,8,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,0,-0.49210226811220714,-0.49210226811220714,-0.49210226811220714,-8.246428213461414,-4.355412831207278,-4.355122181444097,3.8630199133318897,3.8633105630950717,7.7543259453492075
length+family,,6,legitimate_rest,8,4,8,8,8,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,1.6691870956530988,1.6691871797745943,1.6691874312276997,-6.735378104429636,-2.5192352684565265,-2.51897778512558,4.188164992754954,4.1884225598803155,8.404565200082736
length+family,,6,mask_absent,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,0,0,0,8,1,1,0,0,1,-0.4167343638994332,-0.4167343638994332,-0.4167343638994332,-6.202389196857489,-5.088390184767277,-0.41705161091277887,0.0003172470133456784,4.671655820867843,5.7856548329580555
length+family,,6,mask_present,8,4,8,8,8,0,0,0,0,0,1,1,1,7,7,7,0,0,0,0,0,0,8,1,1,0,0,1,-0.4167343638994332,-0.4167343638994332,-0.4167343638994332,-6.202389196857489,-5.088390184767277,-0.41705161091277887,0.0003172470133456784,4.671655820867843,5.7856548329580555
length+family,,6,merged,8,4,8,8,8,0,0,1,1,1,3,3,3,4,4,4,0,0,0,0,0,0,8,4,4,0,1,0,-2.891920717814262,-2.1530328971958337,-2.1530328971958337,-8.28751710504022,-3.9692233333366724,-2.1530328971958337,0.0,1.4467476041767968,5.395596387225957
