model,cell,condition,accuracy,accuracy_lower95,accuracy_upper95,paired_success,paired_success_lower95,paired_success_upper95,log_loss,log_loss_lower95,log_loss_upper95,brier,brier_lower95,brier_upper95
old_reference,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_reference,joint,shuffle,0.75,0.375,1.0,0.75,0.375,1.0,2.7056799314880418,0.0009804805139615315,6.762729107949163,0.49950098,9.800000000392828e-07,1.2487509799999998
old_reference,joint,swap,0.75,0.375,1.0,0.75,0.375,1.0,2.7056799314880418,0.0009804805139615315,6.762729107949163,0.49950098,9.800000000392828e-07,1.2487509799999998
old_reference,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_reference,timbre,intact,0.75,0.375,1.0,0.75,0.375,1.0,2.7056799314880418,0.0009804805139615315,6.762729107949163,0.49950098,9.800000000392828e-07,1.2487509799999998
old_transition1,duration,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
old_transition1,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition1,joint,intact,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition1,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_transition1,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_transition1,joint,shuffle,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition1,joint,swap,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition1,matched,intact,0.5,0.5,0.5,0.0,0.0,0.0,0.69410764165507,0.6941076416550698,0.69410764165507,0.50000048,0.50000048,0.5000004800000002
old_transition1,timbre,intact,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition2,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_transition2,joint,ambiguous,0.25,0.0625,0.4375,0.0,0.0,0.0,4.6645059143160825,1.9598164719994715,8.28836062372148,0.87471913625,0.6014848315625,1.1479534409375
old_transition2,joint,intact,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_transition2,joint,removal,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_transition2,joint,reset,0.125,0.0,0.3125,0.0,0.0,0.0,6.175403707887094,2.7607793709089035,9.590028044865281,1.0621252925,0.8435940424999999,1.2494377925
old_transition2,joint,shuffle,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_transition2,joint,swap,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_transition2,matched,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
old_transition2,timbre,intact,0.5,0.125,0.875,0.5,0.125,0.875,4.3179423337455285,1.3533302060010017,8.115078833436202,0.62471938625,0.16398526906250002,1.0854535034375
old_transition3,duration,intact,1.0,1.0,1.0,1.0,1.0,1.0,0.0009804805139615315,0.0009804805139615315,0.0009804805139615315,9.800000000392828e-07,9.800000000392828e-07,9.800000000392828e-07
