model,cell,condition,bin,count,confidence,accuracy
a32_48_mixture/recency,unchanged,reset,7,4,0.7633399404796715,0.0
a32_48_mixture/recency,unchanged,shuffle,3,1,0.38993349429339297,0.0
a32_48_mixture/recency,unchanged,shuffle,4,6,0.4742033799766991,0.3333333333333333
a32_48_mixture/recency,unchanged,shuffle,5,6,0.5535635496971495,0.16666666666666666
a32_48_mixture/recency,unchanged,shuffle,6,14,0.6639460325515824,0.42857142857142855
a32_48_mixture/recency,unchanged,shuffle,7,9,0.7381072831113556,0.1111111111111111
a32_48_mixture/recency,unchanged,shuffle,8,7,0.8131770442926,0.2857142857142857
a32_48_mixture/recency,unchanged,shuffle,9,5,0.9751274565447468,0.4
a32_48_mixture/recency,unchanged,swap,3,2,0.36386965885888195,0.5
a32_48_mixture/recency,unchanged,swap,4,3,0.4714134562842169,0.0
a32_48_mixture/recency,unchanged,swap,5,9,0.5252627987072738,0.0
a32_48_mixture/recency,unchanged,swap,6,13,0.6664893021848844,0.46153846153846156
a32_48_mixture/recency,unchanged,swap,7,8,0.7483776943643395,0.25
a32_48_mixture/recency,unchanged,swap,8,10,0.837675653890142,0.4
a32_48_mixture/recency,unchanged,swap,9,3,0.9911908395546506,0.0
a32_48_mixture/recency,unchanged,unrelated,2,6,0.2824540461504189,0.0
a32_48_mixture/recency,unchanged,unrelated,3,5,0.3301177271798553,0.0
a32_48_mixture/recency,unchanged,unrelated,4,5,0.4594804275089393,0.0
a32_48_mixture/recency,unchanged,unrelated,5,6,0.5418414119280913,0.0
a32_48_mixture/recency,unchanged,unrelated,6,11,0.6597123608571027,0.18181818181818182
a32_48_mixture/recency,unchanged,unrelated,7,8,0.7491501792668711,0.0
a32_48_mixture/recency,unchanged,unrelated,8,2,0.8168819445384785,0.5
a32_48_mixture/recency,unchanged,unrelated,9,5,0.9686493192324537,0.0
a32_48_mixture/reference,stretch,intact,3,2,0.36275402316055183,0.0
a32_48_mixture/reference,stretch,intact,4,1,0.4038966440066844,0.0
a32_48_mixture/reference,stretch,intact,5,11,0.558952312946388,0.8181818181818182
a32_48_mixture/reference,stretch,intact,6,9,0.6549338271161631,0.8888888888888888
a32_48_mixture/reference,stretch,intact,7,16,0.7416104036760021,0.5625
a32_48_mixture/reference,stretch,intact,8,6,0.8400673058485159,1.0
a32_48_mixture/reference,stretch,intact,9,3,0.9921068404734111,0.0
a32_48_mixture/reference,timbre,intact,2,1,0.2242516332247738,0.0
a32_48_mixture/reference,timbre,intact,3,2,0.3227861556110074,0.0
a32_48_mixture/reference,timbre,intact,4,3,0.4794041818357054,0.6666666666666666
a32_48_mixture/reference,timbre,intact,5,10,0.5380673495926087,0.8
a32_48_mixture/reference,timbre,intact,6,9,0.6576479793640178,1.0
a32_48_mixture/reference,timbre,intact,7,16,0.760433731133738,0.75
a32_48_mixture/reference,timbre,intact,8,2,0.8102488160133048,0.0
a32_48_mixture/reference,timbre,intact,9,5,0.9620550470480758,0.4
a32_48_mixture/reference,transpose,intact,3,3,0.3246753980980313,0.0
a32_48_mixture/reference,transpose,intact,4,5,0.4840598553036905,0.8
a32_48_mixture/reference,transpose,intact,5,4,0.5692802719639596,0.75
a32_48_mixture/reference,transpose,intact,6,10,0.6604403763731289,1.0
a32_48_mixture/reference,transpose,intact,7,15,0.7408760914299723,0.7333333333333333
