model,group,cell,condition,source_accuracy,false_match,rejection,pitch_accuracy,time_accuracy,timbre_accuracy,alignment_coverage
patch-multi/reference,sp-22,timbre,intact,1.0,0.0,0.0,1.0,1.0,0.0,1.0
patch-multi/absolute,sp-23,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-23,unchanged,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-23,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-23,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-23,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-23,unchanged,removal,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-23,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-23,unchanged,swap,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-23,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-23,unchanged,shuffle,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-23,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-23,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-23,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-23,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-23,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-23,transpose,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-23,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-23,stretch,intact,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-23,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-23,timbre,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-24,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-24,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-24,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-24,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-24,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-24,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-24,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-24,unchanged,swap,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-24,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-24,unchanged,shuffle,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-24,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/reference,sp-24,unchanged,ambiguous,1.0,0.0,0.0,1.0,1.0,1.0,1.0
patch-multi/absolute,sp-24,unchanged,unrelated,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-24,unchanged,unrelated,0.0,1.0,0.0,0.0,0.5,0.0,1.0
patch-multi/absolute,sp-24,transpose,intact,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-24,transpose,intact,1.0,0.0,0.0,1.0,0.0,0.5,1.0
patch-multi/absolute,sp-24,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/reference,sp-24,stretch,intact,1.0,0.0,0.0,1.0,0.0,0.0,1.0
patch-multi/absolute,sp-24,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-24,timbre,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/reference,sp-25,unchanged,intact,1.0,0.0,0.0,1.0,0.0,1.0,1.0
patch-multi/absolute,sp-25,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/reference,sp-25,unchanged,reset,0.0,0.0,1.0,0.0,0.0,0.0,0.0
patch-multi/absolute,sp-25,unchanged,removal,1.0,0.0,0.0,1.0,0.0,1.0,1.0
