model,group,cell,condition,accuracy,log_loss,brier,entropy,unknown_mass,confidence,paired_success
a32_48_mixture/recency,sp-16,unchanged,removal,0.0,3.1634741759321,1.3698326619887569,1.1976145669417557,0.647295835235418,0.647295835235418,0.0
a32_48_mixture/reference,sp-16,unchanged,removal,0.0,3.121407027918516,1.3692339855403155,1.0959270536151353,0.6469498391578712,0.6469498391578712,0.0
a32_48_mixture/transition1,sp-16,unchanged,removal,0.0,3.121407027918516,1.3692339855403155,1.0959270536151353,0.6469498391578712,0.6469498391578712,0.0
a32_48_mixture/transition2,sp-16,unchanged,removal,0.0,3.121407027918516,1.3692339855403155,1.0959270536151353,0.6469498391578712,0.6469498391578712,0.0
a32_48_mixture/transition3,sp-16,unchanged,removal,0.0,3.121407027918516,1.3692339855403155,1.0959270536151353,0.6469498391578712,0.6469498391578712,0.0
b2/absolute,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/present,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/recency,sp-16,unchanged,removal,0.0,2.1223490426911127,1.0444812499999996,1.5615080942797084,0.001,0.35724999999999996,0.0
b2/reference,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/transition1,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/transition2,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
b2/transition3,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
f32/absolute,sp-16,unchanged,removal,0.0,+Infinity,2.0,0.0,1.0,1.0,0.0
f32/present,sp-16,unchanged,removal,0.0,2.0802818946775288,1.0621252925000002,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995,0.0
f32/recency,sp-16,unchanged,removal,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951,0.0
f32/reference,sp-16,unchanged,removal,0.0,+Infinity,2.0,0.0,1.0,1.0,0.0
f32/single,sp-16,unchanged,removal,0.0,+Infinity,2.0,0.0,1.0,1.0,0.0
