model,group,cell,condition,accuracy,paired_success,log_loss,brier
oracle-boundary/recency,ewr-17,detached,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
oracle-boundary/reference,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition1,ewr-17,detached,intact,0.5,0.0,0.69410764165507,0.50000048
oracle-boundary/transition2,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/transition3,ewr-17,detached,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/absolute,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/present,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
repaired/recency,ewr-17,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired/reference,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition1,ewr-17,legato,intact,0.0,0.0,0.6974181174313773,0.5033077603387458
repaired/transition2,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired/transition3,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/absolute,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/present,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
streaming/recency,ewr-17,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
streaming/reference,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/transition1,ewr-17,legato,intact,0.5,0.0,0.514723019209665,0.33610780112634586
streaming/transition2,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
streaming/transition3,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
fixed/absolute,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/present,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/recency,ewr-17,legato,intact,0.0,0.0,6.907755278982137,1.90245
fixed/reference,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition1,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.99800098
fixed/transition2,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
fixed/transition3,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/absolute,ewr-17,legato,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
oracle-boundary/present,ewr-17,legato,intact,0.0,0.0,10.819778284410283,1.3118752925
oracle-boundary/recency,ewr-17,legato,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
