front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
oracle-boundary,civ-08,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,7.98302191144169e-05,0.0,0.0,0.0,0.055125,0.055125
streaming,civ-09,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.06332544153280031,0.0,0.0049261363636363634,0.004755681818181818,0.082625,0.08
fixed,civ-09,detached,intact,0,11,13,8,5,0.38461538461538464,0.45454545454545453,0.4166666666666667,2,0,0.18181818181818182,0.0,0.7272727272727273,0.7272727272727273,0.007103680545011648,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,civ-09,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0033385695711672433,0.0,0.0,0.0,0.0524375,0.0524375
streaming,civ-09,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.064503896223512,0.0,0.0049261363636363634,0.004755681818181818,0.082625,0.08
fixed,civ-09,detached,intact,1,11,13,8,5,0.38461538461538464,0.45454545454545453,0.4166666666666667,3,1,0.2727272727272727,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.004860358050458369,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,civ-09,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0033385695711672433,0.0,0.0,0.0,0.0524375,0.0524375
streaming,civ-09,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,1.0,5.744908881034105,0.18181818181818182,0.007585227272727272,0.01024431818181818,0.1164375,0.104
fixed,civ-09,legato,intact,0,11,16,8,5,0.3125,0.45454545454545453,0.37037037037037035,4,1,0.36363636363636365,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.008096156211065408,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,civ-09,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034099535989088025,0.0,0.0,0.0,0.0524375,0.0524375
streaming,civ-09,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.5454545454545454,1.0,6.20420102735211,0.18181818181818182,0.00722159090909091,0.009880681818181816,0.1155,0.104
fixed,civ-09,legato,intact,1,11,15,8,5,0.3333333333333333,0.45454545454545453,0.38461538461538464,3,1,0.2727272727272727,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.007261003671068855,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,civ-09,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034099535989088025,0.0,0.0,0.0,0.0524375,0.0524375
streaming,civ-09,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602524081372017,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.1
fixed,civ-09,duration,intact,0,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,3,1,0.2727272727272727,0.09090909090909091,0.8181818181818182,0.8181818181818182,0.02931707471132731,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,civ-09,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003213879136238647,0.0,0.0,0.0,0.054,0.054
streaming,civ-09,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,9.602553566123715,0.18181818181818182,0.008545454545454545,0.01075,0.112625,0.104
