model,group,cell,condition,accuracy,paired_success,log_loss,brier
old_transition3,for-18,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-18,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-18,timbre,intact,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-18,timbre,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-18,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-18,timbre,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-18,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-18,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-18,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
old_recency,for-18,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-18,duration,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-18,duration,intact,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-18,duration,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-18,duration,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-18,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_present,for-18,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
old_recency,for-18,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
old_reference,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition1,for-18,joint,intact,0.5,0.0,0.69410764165507,0.50000048
old_transition2,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_transition3,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_absolute,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_present,for-18,joint,intact,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-18,joint,intact,1.0,1.0,0.05024121643674679,0.0024500000000000632
repaired_reference,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition1,for-18,joint,intact,0.5,0.0,0.69410764165507,0.50000048
repaired_transition2,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
repaired_transition3,for-18,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07
old_absolute,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
old_present,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
old_recency,for-18,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999
old_reference,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
old_transition1,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
old_transition2,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
old_transition3,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
repaired_absolute,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
repaired_present,for-18,joint,reset,0.0,0.0,10.819778284410283,1.3118752925
repaired_recency,for-18,joint,reset,0.0,0.0,6.907755278982137,1.2819812499999999
