front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
oracle-boundary,ewr-08,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00010617998589243253,0.0,0.0,0.0,0.055125,0.055125
repaired,ewr-09,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0004021502532654188,0.0,0.006051136363636364,0.005880681818181818,0.082625,0.076
streaming,ewr-09,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.08205106158047473,0.0,0.006051136363636364,0.005880681818181818,0.082625,0.076
fixed,ewr-09,detached,intact,0,11,12,8,5,0.4166666666666667,0.45454545454545453,0.43478260869565216,1,0,0.09090909090909091,0.0,0.7272727272727273,0.7272727272727273,0.0036298540558987735,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,ewr-09,detached,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.012353597930712435,0.0,0.0,0.0,0.0524375,0.0524375
repaired,ewr-09,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0004121285967862482,0.0,0.006051136363636364,0.005880681818181818,0.082625,0.076
streaming,ewr-09,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.08175074812342942,0.0,0.006051136363636364,0.005880681818181818,0.082625,0.076
fixed,ewr-09,detached,intact,1,11,12,8,5,0.4166666666666667,0.45454545454545453,0.43478260869565216,2,1,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.00306764361308165,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,ewr-09,detached,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.012353597930712435,0.0,0.0,0.0,0.0524375,0.0524375
repaired,ewr-09,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0004007470954558395,0.0,0.008960227272727272,0.011335227272727273,0.1164375,0.104
streaming,ewr-09,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,5.591649942366722,0.45454545454545453,0.008960227272727272,0.011335227272727273,0.1164375,0.104
fixed,ewr-09,legato,intact,0,11,15,8,5,0.3333333333333333,0.45454545454545453,0.38461538461538464,3,1,0.2727272727272727,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.011015616471483192,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,ewr-09,legato,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003147586428743859,0.0,0.0,0.0,0.0524375,0.0524375
repaired,ewr-09,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0004007147315025444,0.0,0.008960227272727272,0.011335227272727273,0.1155,0.104
streaming,ewr-09,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.45454545454545453,1.0,5.591092749771415,0.45454545454545453,0.008960227272727272,0.011335227272727273,0.1155,0.104
fixed,ewr-09,legato,intact,1,11,14,8,5,0.35714285714285715,0.45454545454545453,0.4,2,1,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.7272727272727273,0.01098057253940965,0.0,0.017281249999999998,0.0154375,0.008875,0.0
oracle-boundary,ewr-09,legato,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003147586428743859,0.0,0.0,0.0,0.0524375,0.0524375
repaired,ewr-09,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00027040685299835457,0.0,0.009636363636363636,0.012204545454545456,0.112625,0.1
streaming,ewr-09,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.2727272727272727,1.0,11.14970157991622,0.45454545454545453,0.009636363636363636,0.012204545454545456,0.112625,0.1
fixed,ewr-09,duration,intact,0,11,15,9,1,0.06666666666666667,0.09090909090909091,0.07692307692307693,5,2,0.45454545454545453,0.18181818181818182,0.6363636363636364,0.8181818181818182,4.21966967679571,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,ewr-09,duration,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003666194718451007,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002765372266926101,0.0,0.009636363636363636,0.012204545454545456,0.112625,0.104
streaming,ewr-09,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.2727272727272727,1.0,9.010802421656992,0.45454545454545453,0.009636363636363636,0.012204545454545456,0.112625,0.104
fixed,ewr-09,duration,intact,1,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,4,2,0.36363636363636365,0.18181818181818182,0.6363636363636364,0.8181818181818182,4.218843593445273,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,ewr-09,duration,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003666194718451007,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00027040685299835457,0.0,0.009636363636363636,0.012204545454545456,0.112625,0.1
streaming,ewr-09,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.2727272727272727,1.0,11.14970157991622,0.45454545454545453,0.009636363636363636,0.012204545454545456,0.112625,0.1
fixed,ewr-09,joint,intact,0,11,15,9,1,0.06666666666666667,0.09090909090909091,0.07692307692307693,5,2,0.45454545454545453,0.18181818181818182,0.6363636363636364,0.8181818181818182,4.21966967679571,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,ewr-09,joint,intact,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003666194718451007,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002765372266926101,0.0,0.009636363636363636,0.012204545454545456,0.112625,0.104
streaming,ewr-09,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.2727272727272727,1.0,9.010802421656992,0.45454545454545453,0.009636363636363636,0.012204545454545456,0.112625,0.104
fixed,ewr-09,joint,intact,1,11,14,9,1,0.07142857142857142,0.09090909090909091,0.08,4,2,0.36363636363636365,0.18181818181818182,0.6363636363636364,0.8181818181818182,4.218843593445273,0.0,0.017625000000000002,0.02172222222222222,0.00125,0.0
oracle-boundary,ewr-09,joint,intact,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003666194718451007,0.0,0.0,0.0,0.054,0.054
repaired,ewr-09,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034912709138268383,0.0,0.009166666666666667,0.012416666666666668,0.0925,0.08
streaming,ewr-09,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,1.0,8.10271754057716,0.6666666666666666,0.009166666666666667,0.012416666666666668,0.0925,0.08
fixed,ewr-09,joint,reset,0,3,4,3,0,0.0,0.0,0.0,1,0,0.3333333333333333,0.0,0.6666666666666666,1.0,6.326580862744251,0.0,0.015166666666666667,0.026249999999999996,-0.01175,0.0
oracle-boundary,ewr-09,joint,reset,0,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003320242782383076,0.0,0.0,0.0,0.05225,0.05225
repaired,ewr-09,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034912709138268383,0.0,0.009166666666666667,0.012416666666666668,0.0925,0.08
streaming,ewr-09,joint,reset,1,3,3,3,3,1.0,1.0,1.0,0,0,0.0,0.0,0.3333333333333333,1.0,8.10271754057716,0.6666666666666666,0.009166666666666667,0.012416666666666668,0.0925,0.08
