query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e16_query_a_delete_two,e16_distractor_1,1,False,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,9.54076099395752,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.17922424467744014,8.040722846984863,0.4999513626098633,0.0,-1.000086784362793,0.0
e16_query_a_delete_two,e16_distractor_1,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5550000071525574,8.540674209594727,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3432242640182454,7.04063606262207,-0.4999513626098633,0.0,-1.9999895095825195,-0.16599997878074646
e16_query_a_delete_two,e16_distractor_1,2,False,maximum_candidate,0,1,0,0.29899999499320984,0.39100000262260437,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.2254424423138091,9.040666580200195,-0.49999237060546875,0.0,-2.999974250793457,-0.16499999165534973
e16_query_a_delete_two,e16_distractor_1,2,False,maximum_candidate,1,2,1,0.46399998664855957,0.5550000071525574,8.540674209594727,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3884485201686777,6.040692329406738,0.49999237060546875,0.0,-1.9999895095825195,-0.16599997878074646
e16_query_a_delete_two,e16_distractor_1,3,False,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,9.54076099395752,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.1642105263222669,9.040717601776123,-0.5000433921813965,-1.3877787807814457e-17,-1.000086784362793,0.0
e16_query_a_delete_two,e16_distractor_1,3,False,maximum_candidate,1,3,1,0.628000020980835,0.7210000157356262,6.540684700012207,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.32887449980375133,6.0406413078308105,0.5000433921813965,1.3877787807814457e-17,0.0,-0.33000001311302185
e16_query_a_delete_two,e16_distractor_3,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22599999606609344,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.16448080955774314,8.540623188018799,5.1021575927734375e-05,1.3877787807814457e-17,-2.999974250793457,0.0
e16_query_a_delete_two,e16_distractor_3,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,9.54076099395752,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.32814951015289884,6.540735721588135,-5.1021575927734375e-05,-1.3877787807814457e-17,-3.0000762939453125,-0.3310000002384186
e16_query_a_delete_two,e16_distractor_3,1,False,maximum_candidate,0,0,0,0.1340000033378601,0.22599999606609344,11.540648460388184,0.1340000033378601,0.22499999403953552,8.540674209594727,0.1340000033378601,0.17972121542040848,9.040666580200195,-0.49999237060546875,0.0,-2.999974250793457,0.0
e16_query_a_delete_two,e16_distractor_3,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5550000071525574,8.540674209594727,0.2980000078678131,0.39100000262260437,6.540684700012207,0.2980000078678131,0.3432242640182454,6.040692329406738,0.49999237060546875,0.0,-1.9999895095825195,-0.16599997878074646
