model,group,cell,condition,accuracy,paired_success,log_loss,brier,entropy,unknown_mass,confidence
streaming/reference,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition1,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.6549381362499997,0.6384029638356644,1.9999999999999998e-05,0.6868324999999998
streaming/transition2,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-16,duration,intact,0.0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
fixed/reference,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition2,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/present,cea-16,duration,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-16,duration,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition1,cea-16,duration,intact,0.5,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
oracle-boundary/transition3,cea-16,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/absolute,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/present,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,joint,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition1,cea-16,joint,intact,1.0,1.0,0.6670300554160233,0.4729552743251255,0.7034519167340567,1.9999999999999998e-05,0.5132305829393725
map/transition2,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
map/transition3,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
mixture/absolute,cea-16,joint,intact,1.0,1.0,0.6366256858416495,0.41347739673438955,0.8580659926632621,0.4374552790275898,0.529074680423756
mixture/present,cea-16,joint,intact,0.0,0.0,11.395042929900765,1.290056209958672,1.3969287454499435,0.4374552790275898,0.4374552790275898
mixture/recency,cea-16,joint,intact,0.0,0.0,7.483019924472618,1.4769549286079897,0.8982852574890561,0.43800658388023983,0.5349907294593512
mixture/reference,cea-16,joint,intact,1.0,1.0,0.6366256858416495,0.41347739673438955,0.8580659926632621,0.4374552790275898,0.529074680423756
mixture/transition1,cea-16,joint,intact,0.0,0.0,1.2422947009065046,0.7719751954323415,1.080901053364903,0.4374552790275898,0.4374552790275898
mixture/transition2,cea-16,joint,intact,1.0,1.0,0.6366256858416495,0.41347739673438955,0.8580659926632621,0.4374552790275898,0.529074680423756
mixture/transition3,cea-16,joint,intact,1.0,1.0,0.6366256858416495,0.41347739673438955,0.8580659926632621,0.4374552790275898,0.529074680423756
repaired/absolute,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/present,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,joint,intact,0.0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition1,cea-16,joint,intact,0.0,0.0,0.7032670424687782,0.5091507937794959,0.7037867596551003,1.9999999999999998e-05,0.5040744142010333
repaired/transition2,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
repaired/transition3,cea-16,joint,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.011582902361779928,1.9999999999999998e-05,0.9990199999999999
streaming/absolute,cea-16,joint,intact,0.0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
