model,group,cell,condition,variant,accuracy,log_loss,brier,entropy,unknown_mass,confidence
streaming/transition2,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/transition3,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/absolute,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/present,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/recency,cea-16,legato,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
fixed/reference,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition1,cea-16,legato,intact,1,0.0,10.819778284410283,1.99800098,0.011582902361779817,2e-05,0.99902
fixed/transition2,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
fixed/transition3,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/absolute,cea-16,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/present,cea-16,legato,intact,1,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
oracle-boundary/recency,cea-16,legato,intact,1,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
oracle-boundary/reference,cea-16,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/transition1,cea-16,legato,intact,1,0.0,0.69410764165507,0.50000048,0.7038282854721148,1.9999999999999998e-05,0.4995199999999999
oracle-boundary/transition2,cea-16,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
oracle-boundary/transition3,cea-16,legato,intact,1,1.0,0.0009804805139614205,9.800000000392828e-07,0.011582902361779817,2e-05,0.99902
map/absolute,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/present,cea-16,duration,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
map/recency,cea-16,duration,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
map/reference,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition1,cea-16,duration,intact,0,1.0,0.6728844759961626,0.4788007025271517,0.7035984378990141,1.9999999999999998e-05,0.5102346933908847
map/transition2,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
map/transition3,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
mixture/absolute,cea-16,duration,intact,0,1.0,0.5783129124095774,0.35301240680275026,0.8724851233337843,0.3995977808465919,0.56084376140925
mixture/present,cea-16,duration,intact,0,0.0,11.329913767315011,1.27209897321098,1.432364214233942,0.3995977808465919,0.3995977808465919
mixture/recency,cea-16,duration,intact,0,0.0,7.4178907618868655,1.484999527941981,0.9002551011153248,0.40018618678948115,0.5709939302934968
mixture/reference,cea-16,duration,intact,0,1.0,0.5783129124095774,0.35301240680275026,0.8724851233337843,0.3995977808465919,0.56084376140925
mixture/transition1,cea-16,duration,intact,0,0.0,1.1830199589008907,0.7269595392867476,1.0951568214736846,0.3995977808465919,0.3995977808465919
mixture/transition2,cea-16,duration,intact,0,1.0,0.5783129124095774,0.35301240680275026,0.8724851233337843,0.3995977808465919,0.56084376140925
mixture/transition3,cea-16,duration,intact,0,1.0,0.5783129124095774,0.35301240680275026,0.8724851233337843,0.3995977808465919,0.56084376140925
repaired/absolute,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/present,cea-16,duration,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
repaired/recency,cea-16,duration,intact,0,0.0,6.907755278982137,1.90245,0.38625940550147086,0.001,0.951
repaired/reference,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition1,cea-16,duration,intact,0,0.0,0.7032670424687781,0.5091507937794957,0.7037867596551004,1.9999999999999998e-05,0.5040744142010332
repaired/transition2,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
repaired/transition3,cea-16,duration,intact,0,1.0,0.0009804805139616427,9.800000000392828e-07,0.011582902361780037,1.9999999999999998e-05,0.9990199999999998
streaming/absolute,cea-16,duration,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/present,cea-16,duration,intact,0,0.0,10.819778284410283,1.3118752925,1.2652230253095489,1.9999999999999998e-05,0.37464499999999995
streaming/recency,cea-16,duration,intact,0,0.0,6.907755278982137,1.2819812499999999,1.5615080942797084,0.001,0.35724999999999996
