model,cell,condition,bin,count,mean_confidence,accuracy
mixture/reference,joint,swap,5,6,0.5346718803396019,1.0
mixture/reference,joint,swap,6,8,0.6576248866539866,1.0
mixture/reference,joint,swap,7,8,0.7316471062400507,1.0
mixture/reference,joint,swap,8,8,0.8454594483854825,1.0
mixture/reference,joint,swap,9,18,0.9742940306735272,0.5555555555555556
mixture/reference,legato,intact,2,1,0.29973584681079174,0.0
mixture/reference,legato,intact,5,7,0.5779186607760873,1.0
mixture/reference,legato,intact,6,8,0.6355183225090646,0.75
mixture/reference,legato,intact,7,1,0.7776914829513835,1.0
mixture/reference,legato,intact,8,10,0.8572896739061152,1.0
mixture/reference,legato,intact,9,21,0.9781435879517515,0.6190476190476191
mixture/transition1,detached,intact,4,9,0.4759862184061878,0.4444444444444444
mixture/transition1,detached,intact,5,29,0.5123771634790446,0.5172413793103449
mixture/transition1,detached,intact,7,4,0.721602498288582,1.0
mixture/transition1,detached,intact,9,6,1.0,0.0
mixture/transition1,duration,intact,3,7,0.36727139525583036,0.14285714285714285
mixture/transition1,duration,intact,4,16,0.4536062850343946,0.1875
mixture/transition1,duration,intact,5,9,0.5393456499747701,0.5555555555555556
mixture/transition1,duration,intact,6,3,0.6402580602423886,1.0
mixture/transition1,duration,intact,7,2,0.7196346929931441,1.0
mixture/transition1,duration,intact,9,11,1.0,0.0
mixture/transition1,joint,ambiguous,3,6,0.3744029344876745,0.5
mixture/transition1,joint,ambiguous,4,22,0.4446081915277933,0.45454545454545453
mixture/transition1,joint,ambiguous,5,16,0.5323748245117577,0.4375
mixture/transition1,joint,ambiguous,9,4,1.0,0.0
mixture/transition1,joint,intact,3,10,0.37273345589505935,0.4
mixture/transition1,joint,intact,4,19,0.4515560602786739,0.3684210526315789
mixture/transition1,joint,intact,5,6,0.5375880574082667,0.6666666666666666
mixture/transition1,joint,intact,6,4,0.6493057947236095,1.0
