front,group,cell,condition,variant,true_events,predicted_events,matched_events,bounded_matches,precision,recall,f1,split_count,merge_count,split_rate,merge_rate,pitch_accuracy,pitch_availability,mean_pitch_error_available,octave_error_rate,mean_onset_error_s,mean_end_error_s,max_true_end_latency_s,max_inferred_end_latency_s
oracle-boundary,cea-34,joint,removal,0,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002893660504889163,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004587619955946131,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
mixture,cea-34,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004587619955946131,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
repaired,cea-34,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.000331337288255382,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
streaming,cea-34,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.11956318939749463,0.0,0.008145833333333333,0.008805555555555556,0.1049375,0.096
fixed,cea-34,joint,removal,1,9,15,8,1,0.06666666666666667,0.1111111111111111,0.08333333333333333,7,1,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.0706348967317898,0.0,0.02228125,0.015953125,0.00775,0.0
oracle-boundary,cea-34,joint,removal,1,9,9,9,9,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002893660504889163,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005189566361442178,0.0,0.008789772727272726,0.009170454545454546,0.1049375,0.096
mixture,cea-34,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005189566361442178,0.0,0.008789772727272726,0.009170454545454546,0.1049375,0.096
repaired,cea-34,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003381570423281617,0.0,0.008789772727272726,0.009170454545454546,0.1049375,0.096
streaming,cea-34,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.8181818181818182,1.0,3.3816667635666886,0.09090909090909091,0.008789772727272726,0.009170454545454546,0.1049375,0.096
fixed,cea-34,joint,swap,0,11,19,10,1,0.05263157894736842,0.09090909090909091,0.06666666666666667,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.07895570284854117,0.0,0.0185625,0.019799999999999998,0.00775,0.0
oracle-boundary,cea-34,joint,swap,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002736654732466577,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005895328625025378,0.0,0.008789772727272728,0.009170454545454544,0.1049375,0.096
mixture,cea-34,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005895328625025378,0.0,0.008789772727272728,0.009170454545454544,0.1049375,0.096
repaired,cea-34,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00031460586511997883,0.0,0.008789772727272728,0.009170454545454544,0.1049375,0.096
streaming,cea-34,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,1.851496238248667,0.0,0.008789772727272728,0.009170454545454544,0.1049375,0.096
fixed,cea-34,joint,swap,1,11,19,10,1,0.05263157894736842,0.09090909090909091,0.06666666666666667,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9090909090909091,0.06954500991359547,0.0,0.0185625,0.019799999999999998,0.00775,0.0
oracle-boundary,cea-34,joint,swap,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002736654732466577,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003882507911384649,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
mixture,cea-34,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.003882507911384649,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
repaired,cea-34,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034377317726821195,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
streaming,cea-34,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.8181818181818182,1.0,3.997968387642811,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
fixed,cea-34,joint,shuffle,0,11,19,10,1,0.05263157894736842,0.09090909090909091,0.06666666666666667,9,1,0.8181818181818182,0.09090909090909091,0.8181818181818182,0.9090909090909091,0.07967858829412541,0.0,0.0185625,0.019799999999999998,0.00775,0.0
oracle-boundary,cea-34,joint,shuffle,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002736654732466577,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004041283192131443,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
mixture,cea-34,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.004041283192131443,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
repaired,cea-34,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0003202220000600291,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
streaming,cea-34,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,1.8438341463457109,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
fixed,cea-34,joint,shuffle,1,11,19,10,1,0.05263157894736842,0.09090909090909091,0.06666666666666667,9,1,0.8181818181818182,0.09090909090909091,0.8181818181818182,0.9090909090909091,0.07026789535917972,0.0,0.0185625,0.019799999999999998,0.00775,0.0
oracle-boundary,cea-34,joint,shuffle,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.0002736654732466577,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005358598979313133,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
mixture,cea-34,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005358598979313133,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
repaired,cea-34,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034285291147236177,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
streaming,cea-34,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,1.8443969974651149,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
fixed,cea-34,joint,ambiguous,0,11,20,10,1,0.05,0.09090909090909091,0.06451612903225806,11,2,1.0,0.18181818181818182,0.8181818181818182,0.9090909090909091,0.0728511929278004,0.0,0.0185625,0.019799999999999998,0.00775,0.0
oracle-boundary,cea-34,joint,ambiguous,0,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00027618941243408426,0.0,0.0,0.0,0.0543125,0.0543125
map,cea-34,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005358598979313133,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
mixture,cea-34,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.005358598979313133,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
repaired,cea-34,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0,0.00034285291147236177,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
streaming,cea-34,joint,ambiguous,1,11,11,11,11,1.0,1.0,1.0,0,0,0.0,0.0,0.9090909090909091,1.0,1.8443969974651149,0.0,0.008426136363636363,0.008806818181818181,0.1049375,0.096
fixed,cea-34,joint,ambiguous,1,11,20,10,1,0.05,0.09090909090909091,0.06451612903225806,11,2,1.0,0.18181818181818182,0.8181818181818182,0.9090909090909091,0.0728511929278004,0.0,0.0185625,0.019799999999999998,0.00775,0.0
