kind,model,group,cell,condition,accuracy,paired_success,log_loss,brier,target_quantization_error
acoustic,recency,cmr-09,joint,swap,0.0,0.0,6.907755278982137,1.1550671874999983,3.715719646635307e-06
acoustic,reference,cmr-09,joint,swap,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,transition,cmr-09,joint,swap,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
oracle,present,cmr-09,joint,swap,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,joint,swap,1.0,1.0,0.05024121643674679,0.0024500000000000632,0.0
oracle,transition,cmr-09,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,joint,swap,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,joint,shuffle,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
acoustic,present,cmr-09,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,recency,cmr-09,joint,shuffle,0.0,0.0,6.907755278982137,1.1550671874999983,3.715719646635307e-06
acoustic,reference,cmr-09,joint,shuffle,0.0,0.0,10.819778284410283,1.9980009800000011,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
acoustic,transition,cmr-09,joint,shuffle,0.0,0.0,10.819778284410283,1.171531401875001,3.715719646635307e-06
oracle,present,cmr-09,joint,shuffle,0.0,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-09,joint,shuffle,0.0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-09,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-09,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-09,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-09,joint,shuffle,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-09,joint,ambiguous,0.0,0.0,10.819778284410283,1.4990004800000007,3.715719646635307e-06
acoustic,present,cmr-09,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,3.715719646635307e-06
acoustic,recency,cmr-09,joint,ambiguous,0.0,0.0,6.907755278982137,1.1550671875000007,3.715719646635307e-06
acoustic,reference,cmr-09,joint,ambiguous,0.0,0.0,10.819778284410283,1.4990004800000007,3.715719646635307e-06
acoustic,retrieval_absolute,cmr-09,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,3.715719646635307e-06
acoustic,transition,cmr-09,joint,ambiguous,0.0,0.0,10.819778284410283,1.1715314018750007,3.715719646635307e-06
oracle,present,cmr-09,joint,ambiguous,0.0,0.0,1.6748701661650265,0.7969064018749996,0.0
oracle,recency,cmr-09,joint,ambiguous,0.5,0.0,3.4789982477094417,0.9524499999999994,0.0
oracle,transition,cmr-09,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,retrieval_absolute,cmr-09,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,reference,cmr-09,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
oracle,candidate,cmr-09,joint,ambiguous,0.5,0.0,0.69410764165507,0.50000048,0.0
acoustic,candidate,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,present,cmr-10,matched,intact,0.5,0.0,1.6748701661650265,0.796906401875001,1.5695963838879834e-05
acoustic,recency,cmr-10,matched,intact,0.0,0.0,6.907755278982137,1.9024499999999982,1.5695963838879834e-05
acoustic,reference,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,retrieval_absolute,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,transition,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
oracle,present,cmr-10,matched,intact,0.5,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-10,matched,intact,0.0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-10,matched,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,present,cmr-10,timbre,intact,0.5,0.0,1.6748701661650265,0.796906401875001,1.5695963838879834e-05
acoustic,recency,cmr-10,timbre,intact,0.0,0.0,6.907755278982137,1.9024499999999982,1.5695963838879834e-05
acoustic,reference,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,retrieval_absolute,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
acoustic,transition,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.5695963838879834e-05
oracle,present,cmr-10,timbre,intact,0.5,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-10,timbre,intact,0.0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,candidate,cmr-10,timbre,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
acoustic,candidate,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7248751825960085e-05
acoustic,present,cmr-10,duration,intact,0.5,0.0,1.6748701661650265,0.796906401875001,1.7248751825960085e-05
acoustic,recency,cmr-10,duration,intact,0.0,0.0,6.907755278982137,1.9024499999999982,1.7248751825960085e-05
acoustic,reference,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7248751825960085e-05
acoustic,retrieval_absolute,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7248751825960085e-05
acoustic,transition,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,1.7248751825960085e-05
oracle,present,cmr-10,duration,intact,0.5,0.0,1.6748701661650265,0.796906401875001,0.0
oracle,recency,cmr-10,duration,intact,0.0,0.0,6.907755278982137,1.9024499999999982,0.0
oracle,transition,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,retrieval_absolute,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
oracle,reference,cmr-10,duration,intact,1.0,1.0,0.0009804805139615315,9.800000000392828e-07,0.0
