split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
held_out,4,delete_two,8,reference_coverage,0.5,-0.5689948890165639,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,missing_fraction,0.5,-0.5689948890165688,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,1.029224714578512
held_out,4,delete_two,8,query_log,1.0986122886681098,1.3537238655284016,-7.356364000313694,1.029224714578512
held_out,4,detune,8,cost,0.05625572204589844,0.004774720309605262,-7.356364000313694,2.393527925569397
held_out,4,detune,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,2.393527925569397
held_out,4,detune,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,2.393527925569397
held_out,4,detune,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,2.393527925569397
held_out,4,detune,8,mean_pitch_loss,0.05625572204589844,0.0015531307316287457,-7.356364000313694,2.393527925569397
held_out,4,detune,8,exact_pitch_fraction,0.75,-0.24582307640016549,-7.356364000313694,2.393527925569397
held_out,4,detune,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,2.393527925569397
held_out,4,detune,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,2.393527925569397
held_out,4,detune,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,2.393527925569397
held_out,4,detune,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,2.393527925569397
held_out,4,detune,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,2.393527925569397
held_out,4,detune,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,2.393527925569397
held_out,4,exact,8,cost,0.0,0.004971102569407562,-7.356364000313694,6.00872598409316
held_out,4,exact,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,6.00872598409316
held_out,4,exact,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,6.00872598409316
held_out,4,exact,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,6.00872598409316
held_out,4,exact,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,6.00872598409316
held_out,4,exact,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,6.00872598409316
held_out,4,exact,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,6.00872598409316
held_out,4,exact,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,6.00872598409316
held_out,4,exact,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,6.00872598409316
held_out,4,exact,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,6.00872598409316
held_out,4,exact,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,6.00872598409316
held_out,4,exact,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,6.00872598409316
held_out,4,insert,8,cost,0.13999999999999999,0.004482378660577623,-7.356364000313694,2.990038329449564
held_out,4,insert,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,2.990038329449564
held_out,4,insert,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,2.990038329449564
held_out,4,insert,8,query_coverage,0.8,0.9132824819244372,-7.356364000313694,2.990038329449564
held_out,4,insert,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,2.990038329449564
held_out,4,insert,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,2.990038329449564
held_out,4,insert,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,2.990038329449564
held_out,4,insert,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,2.990038329449564
held_out,4,insert,8,inserted_fraction,0.2,0.9132824819244333,-7.356364000313694,2.990038329449564
held_out,4,insert,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,2.990038329449564
held_out,4,insert,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,2.990038329449564
held_out,4,insert,8,query_log,1.791759469228055,0.259288121650091,-7.356364000313694,2.990038329449564
held_out,4,legitimate_rest,8,cost,0.023318247196280985,0.004889701248573067,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,reference_coverage,1.0,2.0669679276961195,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,mean_timing_loss,0.023318247196280985,0.0017772131159082597,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,inserted_fraction,0.0,2.2784448194846694,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,6.008596829029989
held_out,4,legitimate_rest,8,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,6.008596829029989
held_out,4,mask_absent,8,cost,0.175,0.004360197683370138,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,matched_log,1.3862943611198906,-0.20693137815060034,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,reference_coverage,0.75,0.748986519339778,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,query_coverage,1.0,2.2784448194846703,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,mean_pitch_loss,0.0,0.0016502016945512438,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,mean_timing_loss,0.0,0.001824966858244634,-7.356364000313694,2.8750036763380065
held_out,4,mask_absent,8,missing_fraction,0.25,0.7489865193397823,-7.356364000313694,2.8750036763380065
